Year,Q1,Q2,Q3,Q4
2006,0,0,0,228362
2007,155047.0,210922.0,87812.0,272507
2008,186105,201584,120469,330496
2009,219520,231859,322160,288213
2010,290085,388100,281037,303828
2011,296626,415457,513326,462746
2012,340630,412341,338402,448954
2013,358323,444786,330590,474010
2014,374602,427586,389098,450529
2015,424661,456633,389064,662499
2016,345690,114187,467811,661138
2017,412900,511686,582641,1419645
2018,509014,594282,724918,786460
2019,626304,791704,960108,757234
2020,747105,878711,928888,982844
2021,906143,1000031,1124839,1301522
2022,1238880,1250820,1453716,1351601
2023,1493563,1509220,1739340,0
