Date,Sales
Q1/2008,31321973613
Q2/2008,34993272075
Q3/2008,77456261710
Q4/2008,153302632644
Q1/2009,31112964755
Q2/2009,77469764227
Q3/2009,92044107161
Q4/2009,270494530900
Q1/2010,107248752191
Q2/2010,246820794780
Q3/2010,188106357825
Q4/2010,295897703721
Q1/2011,181789319766
Q2/2011,349744948148
Q3/2011,259927769710
Q4/2011,694367463958
Q1/2012,213234014636
Q2/2012,267841630647
Q3/2012,238012954624
Q4/2012,1356433219214
Q1/2013,435178412785
Q2/2013,497931541892
Q3/2013,292682508979
Q4/2013,549858087975
Q1/2014,111475134621
Q2/2014,238669708319
Q3/2014,355079471928
Q4/2014,2057175508610
Q1/2015,178647871414
Q2/2015,276352421186
Q3/2015,176626500573
Q4/2015,1613873477571
Q1/2016,581171562522
Q2/2016,604994946546
Q3/2016,787820254037
Q4/2016,812135893426
Q1/2017,627030067675
Q2/2017,406631516331
Q3/2017,380932492509
Q4/2017,763061244806
Q1/2018,304004260143
Q2/2018,290922121736
Q3/2018,164400824793
Q4/2018,376972856490
Q1/2019,318526060751
Q2/2019,280815285093
Q3/2019,257575640108
Q4/2019,250305257126
Q1/2020,166683882562
Q2/2020,176313288787
Q3/2020,192439687585
Q4/2020,215088216553
Q1/2021,236907664324
Q2/2021,226939654403
Q3/2021,161989709741
Q4/2021,246014547276
Q1/2022,239957221825
Q2/2022,219635191733
Q3/2022,303570844929
Q4/2022,316491139285
Q1/2023,294970020868
Q2/2023,329425204200
Q3/2023,2555985889765
